rowid,publication_year,author_keywords
1,2024,Acrylonitrile butadiene styrene (ABS)
1,2024,Waste slate particles
1,2024,Fused deposition modeling
1,2024,3D printing
1,2024,Dynamic mechanical properties
2,2024,Anti-doping
2,2024,policy
2,2024,clean sport
2,2024,athlete
2,2024,doping behavior
2,2024,para-sport
2,2024,education
3,2024,Pickup and delivery
3,2024,Optimal mass transportation
3,2024,Matching under preferences
4,2024,CO2
4,2024,line positions
4,2024,MARVEL
4,2024,rovibrational energy levels
5,2023,Whole-body edible plants
5,2023,space pepper cultivars
5,2023,green biomass
5,2023,phytonutrients
5,2023,beta-carotene
6,2023,Swarms
6,2023,Pannonian Basin
6,2023,Correlation detectors
6,2023,Relocation
7,2023,Palaeopathology
7,2023,Diagnostics development
7,2023,Tuberculous meningitis
7,2023,Hun period
7,2023,Carpathian Basin
7,2023,Macromorphological examination
8,2023,Machine learning
8,2023,Magnetic resonance imaging
8,2023,Pericardium
8,2023,Adipose tissue
8,2023,Radiomics
9,2023,Aquatic phases
9,2023,Compositional and biodiversity changes
9,2023,Concrete stream bed
9,2023,Ecological status
9,2023,Intermittent lowland stream
10,2023,Interoception
10,2023,Interoceptive ability
10,2023,Mental tracking task
10,2023,Water load test
10,2023,Yoga intervention
10,2023,Hatha yoga
11,2023,suicide
11,2023,prevention
11,2023,global warming
11,2023,perspective
11,2023,early career psychiatrists
12,2023,Fabry Disease
12,2023,alpha-Galactosidase
12,2023,Drug-Related Side Effects and Adverse Reactions
12,2023,"Genetic Diseases, Inborn"
12,2023,"Genetic Diseases, X-Linked"
13,2023,CgMLST
13,2023,MLST
13,2023,MLVA
13,2023,Phylogeny
14,2023,Intraoral scanner
14,2023,Trueness
14,2023,Accuracy
14,2023,Conventional impression
14,2023,Cadaver
15,2023,Very high-power short-duration
15,2023,Stroke
15,2023,Silent cerebral embolism
15,2023,High-power short-duration
15,2023,Pulmonary vein isolation
15,2023,Atrial fibrillation
16,2023,basal cell carcinoma
16,2023,high-frequency ultrasound
16,2023,histological subtype
16,2023,dermoscopy
16,2023,aggressive subtype
16,2023,non-melanoma skin cancer
16,2023,biopsy
16,2023,early detection
16,2023,surgical excision
17,2023,young water polo players
17,2023,oral microbiome
17,2023,DADA2 library
17,2023,sexual dimorphism
18,2023,enteric nervous system
18,2023,neural crest
18,2023,ceca
18,2023,hindgut
18,2023,Hirschsprung disease
18,2023,BMP4
18,2023,Noggin
18,2023,GDNF
19,2023,Causal Theory of Memory
19,2023,epistemology of memory
19,2023,memory traces
19,2023,philosophy of Memory
19,2023,philosophy of cognitive sci-ence
19,2023,simulationism
20,2023,multi-causal model
20,2023,doctor-patient relationship
20,2023,high-security psychiatry
20,2023,workplace violence
20,2023,relatives in psychiatry
