rowid,subject_category
1,Chemistry
2,Substance Abuse
3,Operations Research & Management Science
4,Chemistry
5,Plant Sciences
5,Environmental Sciences & Ecology
6,Geochemistry & Geophysics
7,Immunology
7,Microbiology
7,Respiratory System
8,"Radiology, Nuclear Medicine & Medical Imaging"
9,Marine & Freshwater Biology
10,Life Sciences & Biomedicine - Other Topics
11,Psychiatry
12,Genetics & Heredity
13,Microbiology
13,Veterinary Sciences
14,"Dentistry, Oral Surgery & Medicine"
15,Cardiovascular System & Cardiology
16,General & Internal Medicine
17,Sport Sciences
18,Biochemistry & Molecular Biology
18,Chemistry
19,Philosophy
20,Psychology
21,"Public, Environmental & Occupational Health"
22,Research & Experimental Medicine
23,Geology
23,Meteorology & Atmospheric Sciences
23,Water Resources
24,Biochemistry & Molecular Biology
24,Chemistry
25,Environmental Sciences & Ecology
25,Evolutionary Biology
26,Paleontology
27,Psychiatry
28,Engineering
28,Mechanics
29,General & Internal Medicine
29,Neurosciences & Neurology
30,Neurosciences & Neurology
31,Neurosciences & Neurology
32,Mathematics
33,Cell Biology
34,Food Science & Technology
34,Toxicology
35,Cell Biology
36,Astronomy & Astrophysics
36,Physics
37,Mathematics
38,Sociology
39,"Dentistry, Oral Surgery & Medicine"
40,Neurosciences & Neurology
40,Pathology
41,Physics
42,Engineering
43,Cardiovascular System & Cardiology
43,"Radiology, Nuclear Medicine & Medical Imaging"
44,Astronomy & Astrophysics
45,Neurosciences & Neurology
45,Psychiatry
45,Surgery
46,Plant Sciences
47,Physics
48,Psychology
48,Business & Economics
49,General & Internal Medicine
50,General & Internal Medicine
51,Astronomy & Astrophysics
51,Physics
52,Environmental Sciences & Ecology
52,Evolutionary Biology
53,Cell Biology
54,Materials Science
55,Social Sciences - Other Topics
56,Physics
57,Cardiovascular System & Cardiology
58,Astronomy & Astrophysics
59,Government & Law
60,Mathematics
61,Pharmacology & Pharmacy
62,Cardiovascular System & Cardiology
62,Respiratory System
62,Surgery
63,Biochemistry & Molecular Biology
63,Research & Experimental Medicine
63,Pharmacology & Pharmacy
64,Biochemistry & Molecular Biology
64,Chemistry
65,Biochemistry & Molecular Biology
65,Cell Biology
66,Music
67,Environmental Sciences & Ecology
67,Meteorology & Atmospheric Sciences
68,Biochemistry & Molecular Biology
68,Pharmacology & Pharmacy
68,Food Science & Technology
69,Science & Technology - Other Topics
69,Environmental Sciences & Ecology
70,Family Studies
70,Social Work
71,Microbiology
71,Mycology
72,General & Internal Medicine
73,Life Sciences & Biomedicine - Other Topics
73,Microbiology
74,Agriculture
74,Veterinary Sciences
74,Zoology
75,Dermatology
76,Mathematics
77,Oncology
77,Pathology
78,Business & Economics
79,Science & Technology - Other Topics
80,Urology & Nephrology
81,Geology
82,Science & Technology - Other Topics
82,Environmental Sciences & Ecology
83,Urology & Nephrology
84,Environmental Sciences & Ecology
84,Agriculture
85,Biophysics
85,Environmental Sciences & Ecology
85,Meteorology & Atmospheric Sciences
85,Physiology
86,General & Internal Medicine
87,Linguistics
88,General & Internal Medicine
89,Respiratory System
90,Astronomy & Astrophysics
91,Oncology
92,Anesthesiology
93,Biochemistry & Molecular Biology
94,Infectious Diseases
94,Pharmacology & Pharmacy
95,General & Internal Medicine
96,Oncology
97,General & Internal Medicine
98,Cell Biology
98,Developmental Biology
99,Business & Economics
100,Mathematics
101,Engineering
101,Rehabilitation
102,Business & Economics
102,Health Care Sciences & Services
102,General & Internal Medicine
103,Government & Law
103,Psychology
104,Immunology
105,Life Sciences & Biomedicine - Other Topics
105,Environmental Sciences & Ecology
105,Evolutionary Biology
106,Life Sciences & Biomedicine - Other Topics
107,Neurosciences & Neurology
107,Pharmacology & Pharmacy
107,Psychiatry
108,Gastroenterology & Hepatology
109,Biochemistry & Molecular Biology
109,Chemistry
110,General & Internal Medicine
111,Mathematical Methods In Social Sciences
111,Psychology
112,Environmental Sciences & Ecology
112,Evolutionary Biology
113,Mathematics
114,Engineering
115,Government & Law
116,Astronomy & Astrophysics
116,Physics
117,Biodiversity & Conservation
117,Entomology
118,Infectious Diseases
118,Pharmacology & Pharmacy
119,Zoology
120,Computer Science
120,Engineering
120,Physics
121,Environmental Sciences & Ecology
121,"Public, Environmental & Occupational Health"
122,Mathematics
123,Astronomy & Astrophysics
124,Computer Science
125,Biochemistry & Molecular Biology
126,Orthopedics
126,Surgery
127,Environmental Sciences & Ecology
127,Remote Sensing
128,Mathematics
129,Immunology
130,Cell Biology
130,Developmental Biology
131,Engineering
132,Biochemistry & Molecular Biology
133,Mathematics
133,Science & Technology - Other Topics
134,Geology
135,Business & Economics
136,General & Internal Medicine
137,Chemistry
138,General & Internal Medicine
139,Psychiatry
140,Nursing
140,Pediatrics
141,Rheumatology
142,General & Internal Medicine
143,Health Care Sciences & Services
144,Cardiovascular System & Cardiology
145,Chemistry
145,Engineering
145,Materials Science
145,Physics
146,Biochemistry & Molecular Biology
146,Chemistry
147,Infectious Diseases
147,Pharmacology & Pharmacy
148,Chemistry
149,Biochemistry & Molecular Biology
149,Chemistry
150,Psychology
151,Endocrinology & Metabolism
152,Chemistry
152,Engineering
152,Materials Science
152,Physics
153,General & Internal Medicine
154,Ophthalmology
155,Materials Science
156,Neurosciences & Neurology
156,Psychiatry
156,Surgery
157,Astronomy & Astrophysics
158,Biochemistry & Molecular Biology
158,Chemistry
