freq,indic_ur,cities\TIME_PERIOD,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,TE1026I,HU001C,: ,: ,86,85,59,59,86,87,91,91
A,TE1026I,HU002C,: ,: ,60,60,41,39,58,58,59,59
A,TE1026I,HU003C,: ,: ,47,45,34,34,44,42,39,39
A,TE1026I,HU004C,: ,: ,126,124,63,64,130,136,145,149
A,TE1026I,HU005C,: ,: ,125,121,72,70,125,129,133,134
A,TE1026I,HU006C,: ,: ,138,132,76,74,128,134,136,136
A,TE1026I,HU007C,: ,: ,97,93,72,71,90,87,89,87
A,TE1026I,HU008C,: ,: ,33,32,30,29,32,32,31,31
A,TE1026I,HU009C,: ,: ,13,12,11,12,15,17,17,15
A,TE1026I,HU010C,: ,: ,32,30,19,20,28,29,30,30
A,TE1026I,HU011C,: ,: ,15,13,11,10,9,8,10,11
A,TE1026I,HU012C,: ,: ,6,5,5,5,6,5,5,6
A,TE1026I,HU013C,: ,: ,79,76,56,58,77,78,78,73
A,TE1026I,HU014C,: ,: ,6,6,5,4,4,4,4,5
A,TE1026I,HU015C,: ,: ,48,50,46,45,51,49,47,43
A,TE1026I,HU016C,: ,: ,111,106,72,71,109,108,115,113
A,TE1026I,HU017C,: ,: ,41,38,34,29,35,37,39,44
A,TE1026I,HU018C,: ,: ,17,17,16,16,17,15,15,14
A,TE1026I,HU019C,: ,: ,46,44,31,31,40,40,42,39
A,TE1026V,HU001C,: ,: ,151036,149157,103568,102953,150326,152219,156220,155223
A,TE1026V,HU002C,: ,: ,9513,9527,6417,6108,8975,8921,8870,8726
A,TE1026V,HU003C,: ,: ,5496,5316,3958,3956,5121,4858,4585,4475
A,TE1026V,HU004C,: ,: ,18372,17985,9053,9233,18540,19223,20327,20556
A,TE1026V,HU005C,: ,: ,25386,24571,14500,14251,25256,25919,26813,26853
A,TE1026V,HU006C,: ,: ,22393,21473,12235,11933,20625,21483,21595,21341
A,TE1026V,HU007C,: ,: ,12600,12046,9291,9277,11831,11628,11786,11522
A,TE1026V,HU008C,: ,: ,3702,3598,3348,3209,3542,3477,3437,3415
A,TE1026V,HU009C,: ,: ,1240,1130,1082,1170,1456,1650,1623,1406
A,TE1026V,HU010C,: ,: ,2478,2378,1485,1531,2176,2269,2315,2328
A,TE1026V,HU011C,: ,: ,1111,956,770,687,655,556,665,727
A,TE1026V,HU012C,: ,: ,405,350,327,360,374,333,351,360
A,TE1026V,HU013C,: ,: ,4810,4594,3343,3447,4573,4594,4551,4176
A,TE1026V,HU014C,: ,: ,387,379,322,221,215,238,235,271
A,TE1026V,HU015C,: ,: ,3053,3144,2880,2801,3121,2955,2804,2506
A,TE1026V,HU016C,: ,: ,6048,5769,3857,3772,5768,5598,5884,5630
A,TE1026V,HU017C,: ,: ,1884,1716,1519,1303,1559,1607,1647,1816
A,TE1026V,HU018C,: ,: ,1027,1015,937,922,965,847,830,745
A,TE1026V,HU019C,: ,: ,2844,2697,1953,1923,2506,2508,2616,2449
