freq,unit,geo\TIME_PERIOD,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
A,EUR_HAB,AL0,3300,3500,3600,3700,4000,4500,4800,4700,5400 p,: 
A,EUR_HAB,AL01,2700,2700,2900,3100,3300,3600,3900,3700,4300 p,: 
A,EUR_HAB,AL011,2200,2400,2600,2800,3000,3400,3500,3400,3900 p,: 
A,EUR_HAB,AL012,3400,3300,3600,3700,4100,4400,4800,4500,5200 p,: 
A,EUR_HAB,AL013,2600,2300,2300,2300,2500,2800,2900,2900,3200 p,: 
A,EUR_HAB,AL014,2200,2500,2600,2900,2900,3200,3500,3300,3800 p,: 
A,EUR_HAB,AL015,2500,2400,2600,2800,2900,3200,3500,3300,3800 p,: 
A,EUR_HAB,AL02,3900,4100,4300,4400,4900,5400,5800,5600,6500 p,: 
A,EUR_HAB,AL021,2400,2500,2500,2700,2800,3100,3300,3400,3900 p,: 
A,EUR_HAB,AL022,4500,4600,4900,5000,5600,6100,6500,6300,7200 p,: 
A,EUR_HAB,AL03,3200,3400,3300,3400,3600,4000,4400,4300,4900 p,: 
A,EUR_HAB,AL031,2500,2700,2900,3100,3400,3600,3800,3900,4300 p,: 
A,EUR_HAB,AL032,4100,4300,4000,3900,4100,4700,5200,5000,5800 p,: 
A,EUR_HAB,AL033,3500,3700,3600,3700,4000,4500,5000,5000,5600 p,: 
A,EUR_HAB,AL034,2500,2600,2600,2900,3000,3300,3600,3500,3900 p,: 
A,EUR_HAB,AL035,3100,3100,3100,3400,3400,3800,4000,4000,4600 p,: 
A,EUR_HAB,AT1,38500,39100,39800,41000,41600,43200,44400,42200,45000,48600
A,EUR_HAB,AT11,26300,26900,27800,28600,29800,30600,31400,30300,32000,34900
A,EUR_HAB,AT111,22200,23000,23700,24500,26500,26600,27000,27000,28300,: 
A,EUR_HAB,AT112,29300,29600,30600,31500,32400,33300,34200,33100,34800,: 
A,EUR_HAB,AT113,23100,24100,24900,25700,27000,27700,28400,27000,28700,: 
A,EUR_HAB,AT12,31100,31900,32800,33500,34900,36100,37500,35300,37700,41900
A,EUR_HAB,AT121,29200,29800,30800,31700,33900,34400,35600,34100,35600,: 
A,EUR_HAB,AT122,27800,28900,29300,29500,30800,32100,33100,31500,32600,: 
A,EUR_HAB,AT123,39200,39400,41700,42500,43700,43900,45200,44500,46000,: 
A,EUR_HAB,AT124,26100,26900,27500,28600,29600,30900,32100,31900,34100,: 
A,EUR_HAB,AT125,20000,20400,21300,22400,23100,23700,24700,24700,27300,: 
A,EUR_HAB,AT126,27700,27700,27100,27300,27900,28800,29800,29300,32100,: 
A,EUR_HAB,AT127,42400,44000,46100,46900,49300,51900,54200,46800,50900,: 
A,EUR_HAB,AT13,47400,47600,48100,49600,49500,51300,52400,50200,53400,56600
A,EUR_HAB,AT130,47400,47600,48100,49600,49500,51300,52400,50200,53400,: 
A,EUR_HAB,AT2,33500,34400,35000,36000,37500,38600,40100,38500,40800,44300
A,EUR_HAB,AT21,32200,33100,33500,34000,35500,37200,38200,37100,39400,43600
A,EUR_HAB,AT211,37600,38400,38700,39100,41000,42900,44100,43300,46200,: 
A,EUR_HAB,AT212,25900,26300,26000,26700,27800,28500,29800,29100,29400,: 
A,EUR_HAB,AT213,27600,28900,30000,30600,31500,33400,33900,31800,34300,: 
A,EUR_HAB,AT22,34100,35100,35700,36900,38400,39300,40900,39200,41500,44600
A,EUR_HAB,AT221,44700,45500,46100,47700,49000,50200,52400,50200,53200,: 
A,EUR_HAB,AT222,32700,33700,34300,36200,37400,38600,39500,37600,37700,: 
A,EUR_HAB,AT223,33700,35300,36700,36000,38300,38800,40300,36000,39600,: 
A,EUR_HAB,AT224,26500,27600,28200,28900,30900,31700,32800,32300,33700,: 
A,EUR_HAB,AT225,26000,26800,26900,28300,29000,29600,30700,30000,32200,: 
A,EUR_HAB,AT226,27600,27900,28000,29700,30900,32000,33300,32300,33700,: 
A,EUR_HAB,AT3,40500,41500,42700,43700,45000,46900,47800,45600,48000,53200
A,EUR_HAB,AT31,39000,39900,40600,41600,42900,44800,45700,44000,47000,50700
