freq,currency,nace_r2,geo\TIME_PERIOD	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,TOTAL,AL0	11219.99 	12023.41 	11671.57 	13182.12 p	: 
A,MIO_EUR,TOTAL,AL01	2584.44 	2766.75 	2627.36 	2948.57 p	: 
A,MIO_EUR,TOTAL,AL011	357.19 	363.22 	340.34 	379.97 p	: 
A,MIO_EUR,TOTAL,AL012	1113.12 	1219.3 	1159.28 	1325.96 p	: 
A,MIO_EUR,TOTAL,AL013	191.5 	194.44 	192.55 	206.15 p	: 
A,MIO_EUR,TOTAL,AL014	349.42 	378.51 	354.7 	389.4 p	: 
A,MIO_EUR,TOTAL,AL015	573.21 	611.28 	580.49 	647.09 p	: 
A,MIO_EUR,TOTAL,AL02	5534.35 	5934.76 	5812.15 	6650.24 p	: 
A,MIO_EUR,TOTAL,AL021	756.66 	794.71 	798.79 	887.55 p	: 
A,MIO_EUR,TOTAL,AL022	4777.69 	5140.04 	5013.36 	5762.69 p	: 
A,MIO_EUR,TOTAL,AL03	3101.19 	3321.9 	3232.06 	3583.3 p	: 
A,MIO_EUR,TOTAL,AL031	401.35 	411.34 	409.74 	441.74 p	: 
A,MIO_EUR,TOTAL,AL032	1222.73 	1339.15 	1274.65 	1431.23 p	: 
A,MIO_EUR,TOTAL,AL033	243.85 	263.56 	256.52 	274.65 p	: 
A,MIO_EUR,TOTAL,AL034	602.13 	644.73 	628.89 	685.93 p	: 
A,MIO_EUR,TOTAL,AL035	631.13 	663.12 	662.27 	749.74 p	: 
A,MIO_EUR,TOTAL,AT1	148854 	153722 	147745 	157576 	173110 
A,MIO_EUR,TOTAL,AT11	8007 	8242 	8031 	8485 	9371 
A,MIO_EUR,TOTAL,AT111	892 	905 	905 	949 	: 
A,MIO_EUR,TOTAL,AT112	4711 	4874 	4771 	5045 	: 
A,MIO_EUR,TOTAL,AT113	2404 	2462 	2354 	2491 	: 
A,MIO_EUR,TOTAL,AT12	54035 	56309 	53498 	57218 	64318 
A,MIO_EUR,TOTAL,AT121	7577 	7867 	7580 	7892 	: 
A,MIO_EUR,TOTAL,AT122	7460 	7706 	7397 	7665 	: 
A,MIO_EUR,TOTAL,AT123	6086 	6294 	6253 	6478 	: 
A,MIO_EUR,TOTAL,AT124	6009 	6225 	6190 	6590 	: 
A,MIO_EUR,TOTAL,AT125	2643 	2759 	2772 	3072 	: 
A,MIO_EUR,TOTAL,AT126	8466 	8841 	8792 	9688 	: 
