sc_1,sc_2,relatedness
Acoustics,Acoustics,0
Acoustics,Agriculture,0
Acoustics,Allergy,0
Acoustics,Anatomy & Morphology,0.26967994498529685
Acoustics,Anesthesiology,0
Acoustics,Anthropology,0
Acoustics,Archaeology,0
Acoustics,Astronomy & Astrophysics,0
Acoustics,Audiology & Speech-Language Pathology,0
Acoustics,Automation & Control Systems,0.19999999999999998
Acoustics,Behavioral Sciences,0
Acoustics,Biochemistry & Molecular Biology,0.024875074603742737
Acoustics,Biodiversity & Conservation,0
Acoustics,Biomedical Social Sciences,0
Acoustics,Biophysics,0.04540766091864998
Acoustics,Biotechnology & Applied Microbiology,0
Acoustics,Business & Economics,0
Acoustics,Cardiovascular System & Cardiology,0.1529717805044871
Acoustics,Cell Biology,0
Acoustics,Chemistry,0.08414063238233424
Acoustics,Communication,0
Acoustics,Computer Science,0.0727874525246839
Acoustics,Construction & Building Technology,0
Acoustics,Crystallography,0
Acoustics,Demography,0
Acoustics,"Dentistry, Oral Surgery & Medicine",0
Acoustics,Dermatology,0
Acoustics,Developmental Biology,0
Acoustics,Education & Educational Research,0
Acoustics,Electrochemistry,0
Acoustics,Endocrinology & Metabolism,0
Acoustics,Energy & Fuels,0
Acoustics,Engineering,0.4142839674350902
Acoustics,Entomology,0
Acoustics,Environmental Sciences & Ecology,0.02706659809803834
Acoustics,Ethnic Studies,0
Acoustics,Evolutionary Biology,0
Acoustics,Food Science & Technology,0
Acoustics,Forestry,0
Acoustics,Gastroenterology & Hepatology,0
Acoustics,General & Internal Medicine,0
Acoustics,Genetics & Heredity,0
Acoustics,Geochemistry & Geophysics,0
Acoustics,Geography,0
Acoustics,Geology,0
Acoustics,Geriatrics & Gerontology,0
Acoustics,Health Care Sciences & Services,0
Acoustics,Hematology,0
Acoustics,History,0
Acoustics,Imaging Science & Photographic Technology,0.5477225575051662
Acoustics,Immunology,0
Acoustics,Infectious Diseases,0
Acoustics,Instruments & Instrumentation,0.05345224838248488
Acoustics,Integrative & Complementary Medicine,0
Acoustics,Legal Medicine,0
Acoustics,Life Sciences & Biomedicine - Other Topics,0.3892494720807615
Acoustics,Linguistics,0
Acoustics,Marine & Freshwater Biology,0
Acoustics,Materials Science,0
Acoustics,Mathematical & Computational Biology,0.22360679774997896
Acoustics,Mathematics,0.33183182419798407
Acoustics,Mechanics,0.13968605915391563
Acoustics,Medical Informatics,0.25819888974716115
Acoustics,Medical Laboratory Technology,0
Acoustics,Metallurgy & Metallurgical Engineering,0
Acoustics,Meteorology & Atmospheric Sciences,0
Acoustics,Microbiology,0
Acoustics,Mineralogy,0
Acoustics,Mining & Mineral Processing,0
Acoustics,Music,0
Acoustics,Mycology,0
Acoustics,Neurosciences & Neurology,0.08775269089525567
Acoustics,Nuclear Science & Technology,0.3458701609336935
Acoustics,Nursing,0
Acoustics,Nutrition & Dietetics,0
Acoustics,Obstetrics & Gynecology,0
Acoustics,Oncology,0.13874918701886407
Acoustics,Operations Research & Management Science,0.22360679774997896
Acoustics,Ophthalmology,0
Acoustics,Optics,0
Acoustics,Orthopedics,0
Acoustics,Otorhinolaryngology,0
Acoustics,Paleontology,0
Acoustics,Parasitology,0
Acoustics,Pathology,0
Acoustics,Pediatrics,0
Acoustics,Pharmacology & Pharmacy,0.12269377914491107
Acoustics,Physical Geography,0
Acoustics,Physics,0
Acoustics,Physiology,0
Acoustics,Plant Sciences,0
Acoustics,Polymer Science,0
Acoustics,Psychiatry,0
Acoustics,Psychology,0
Acoustics,Public Administration,0
Acoustics,"Public, Environmental & Occupational Health",0
Acoustics,"Radiology, Nuclear Medicine & Medical Imaging",0.04879500364742666
Acoustics,Rehabilitation,0
Acoustics,Remote Sensing,0
Acoustics,Reproductive Biology,0
Acoustics,Research & Experimental Medicine,0.25555062599997597
Acoustics,Respiratory System,0
Acoustics,Rheumatology,0
Acoustics,Science & Technology - Other Topics,0
Acoustics,Social Issues,0
Acoustics,Social Sciences - Other Topics,0
Acoustics,Sociology,0
Acoustics,Spectroscopy,0
Acoustics,Sport Sciences,0
Acoustics,Substance Abuse,0
Acoustics,Surgery,0.07184212081070995
Acoustics,Telecommunications,0
Acoustics,Thermodynamics,0
Acoustics,Toxicology,0.12777531299998798
Acoustics,Transplantation,0
Acoustics,Tropical Medicine,0
Acoustics,Urology & Nephrology,0
Acoustics,Veterinary Sciences,0
Acoustics,Virology,0
Acoustics,Water Resources,0.07161148740394328
Acoustics,Zoology,0
Agriculture,Acoustics,0
Agriculture,Agriculture,0
Agriculture,Allergy,0
Agriculture,Anatomy & Morphology,0
Agriculture,Anesthesiology,0
Agriculture,Anthropology,0.03779644730092272
Agriculture,Archaeology,0.044721359549995794
Agriculture,Astronomy & Astrophysics,0.01805787796286538
Agriculture,Audiology & Speech-Language Pathology,0
Agriculture,Automation & Control Systems,0.1341640786499874
Agriculture,Behavioral Sciences,0.20177330892212733
Agriculture,Biochemistry & Molecular Biology,0.19282417356573772
Agriculture,Biodiversity & Conservation,0.1885618083164127
Agriculture,Biomedical Social Sciences,0
Agriculture,Biophysics,0.047382821039568895
Agriculture,Biotechnology & Applied Microbiology,0.03973597071195132
Agriculture,Business & Economics,0.03223291856101521
Agriculture,Cardiovascular System & Cardiology,0
Agriculture,Cell Biology,0.011721969977468456
Agriculture,Chemistry,0.021166219538630942
Agriculture,Communication,0
Agriculture,Computer Science,0.12206826881567392
Agriculture,Construction & Building Technology,0
Agriculture,Crystallography,0.30000000000000004
Agriculture,Demography,0
Agriculture,"Dentistry, Oral Surgery & Medicine",0
Agriculture,Dermatology,0
Agriculture,Developmental Biology,0.10606601717798214
Agriculture,Education & Educational Research,0
Agriculture,Electrochemistry,0.26255698469621025
Agriculture,Endocrinology & Metabolism,0.03849001794597505
Agriculture,Energy & Fuels,0.21552636243212991
Agriculture,Engineering,0.0842151921066519
Agriculture,Entomology,0
Agriculture,Environmental Sciences & Ecology,0.2663001143742731
Agriculture,Ethnic Studies,0
Agriculture,Evolutionary Biology,0.19808869335422105
Agriculture,Food Science & Technology,0.0948683298050514
Agriculture,Forestry,0.35919965234379403
Agriculture,Gastroenterology & Hepatology,0
Agriculture,General & Internal Medicine,0
Agriculture,Genetics & Heredity,0.07559289460184544
Agriculture,Geochemistry & Geophysics,0.025819888974716113
Agriculture,Geography,0
Agriculture,Geology,0.05590169943749475
Agriculture,Geriatrics & Gerontology,0
Agriculture,Health Care Sciences & Services,0
Agriculture,Hematology,0
Agriculture,History,0
Agriculture,Imaging Science & Photographic Technology,0.12247448713915893
Agriculture,Immunology,0
Agriculture,Infectious Diseases,0.08017837257372733
Agriculture,Instruments & Instrumentation,0.10757057484009545
Agriculture,Integrative & Complementary Medicine,0.21213203435596428
Agriculture,Legal Medicine,0
Agriculture,Life Sciences & Biomedicine - Other Topics,0.17407765595569785
Agriculture,Linguistics,0
Agriculture,Marine & Freshwater Biology,0.17888543819998318
Agriculture,Materials Science,0.0993883734673619
Agriculture,Mathematical & Computational Biology,0.05
Agriculture,Mathematics,0.15899968200095405
Agriculture,Mechanics,0
Agriculture,Medical Informatics,0
Agriculture,Medical Laboratory Technology,0
Agriculture,Metallurgy & Metallurgical Engineering,0.05111656508223583
Agriculture,Meteorology & Atmospheric Sciences,0.18569533817705186
Agriculture,Microbiology,0.012237255246720063
Agriculture,Mineralogy,0.08320502943378438
Agriculture,Mining & Mineral Processing,0.05773502691896259
Agriculture,Music,0
Agriculture,Mycology,0.3794733192202056
Agriculture,Neurosciences & Neurology,0.17659888384528674
Agriculture,Nuclear Science & Technology,0.17401256802821946
Agriculture,Nursing,0
Agriculture,Nutrition & Dietetics,0.08479983040050881
Agriculture,Obstetrics & Gynecology,0
Agriculture,Oncology,0
Agriculture,Operations Research & Management Science,0
Agriculture,Ophthalmology,0
Agriculture,Optics,0
Agriculture,Orthopedics,0
Agriculture,Otorhinolaryngology,0
Agriculture,Paleontology,0.1809068067466582
Agriculture,Parasitology,0
Agriculture,Pathology,0
Agriculture,Pediatrics,0
Agriculture,Pharmacology & Pharmacy,0.2547550855426267
Agriculture,Physical Geography,0.17693034738587657
Agriculture,Physics,0.13814508766028386
Agriculture,Physiology,0.019611613513818404
Agriculture,Plant Sciences,0.17641057126819928
Agriculture,Polymer Science,0
Agriculture,Psychiatry,0.02803615881095987
Agriculture,Psychology,0.19623115620784248
Agriculture,Public Administration,0
Agriculture,"Public, Environmental & Occupational Health",0.1125
Agriculture,"Radiology, Nuclear Medicine & Medical Imaging",0.06546536707079773
Agriculture,Rehabilitation,0
Agriculture,Remote Sensing,0.17320508075688776
Agriculture,Reproductive Biology,0
Agriculture,Research & Experimental Medicine,0
Agriculture,Respiratory System,0
Agriculture,Rheumatology,0
Agriculture,Science & Technology - Other Topics,0.10553963170954378
Agriculture,Social Issues,0
Agriculture,Social Sciences - Other Topics,0
Agriculture,Sociology,0
Agriculture,Spectroscopy,0.0904534033733291
Agriculture,Sport Sciences,0
Agriculture,Substance Abuse,0
Agriculture,Surgery,0
Agriculture,Telecommunications,0
Agriculture,Thermodynamics,0.26255698469621025
Agriculture,Toxicology,0.17142857142857143
Agriculture,Transplantation,0
Agriculture,Tropical Medicine,0
Agriculture,Urology & Nephrology,0
Agriculture,Veterinary Sciences,0.4184914994777495
Agriculture,Virology,0
Agriculture,Water Resources,0.17614096918559585
Agriculture,Zoology,0.5827942371086194
Allergy,Acoustics,0
Allergy,Agriculture,0
Allergy,Allergy,0
Allergy,Anatomy & Morphology,0
Allergy,Anesthesiology,0
Allergy,Anthropology,0
Allergy,Archaeology,0
Allergy,Astronomy & Astrophysics,0
Allergy,Audiology & Speech-Language Pathology,0
Allergy,Automation & Control Systems,0
Allergy,Behavioral Sciences,0
Allergy,Biochemistry & Molecular Biology,0.12978550143847728
Allergy,Biodiversity & Conservation,0
Allergy,Biomedical Social Sciences,0
Allergy,Biophysics,0.03384487217112064
Allergy,Biotechnology & Applied Microbiology,0.13245323570650439
Allergy,Business & Economics,0
Allergy,Cardiovascular System & Cardiology,0
Allergy,Cell Biology,0.1953661662911409
Allergy,Chemistry,0
Allergy,Communication,0
Allergy,Computer Science,0
Allergy,Construction & Building Technology,0
Allergy,Crystallography,0
Allergy,Demography,0
Allergy,"Dentistry, Oral Surgery & Medicine",0
Allergy,Dermatology,0
Allergy,Developmental Biology,0
Allergy,Education & Educational Research,0
Allergy,Electrochemistry,0
Allergy,Endocrinology & Metabolism,0.06415002990995841
Allergy,Energy & Fuels,0
Allergy,Engineering,0
Allergy,Entomology,0
Allergy,Environmental Sciences & Ecology,0
Allergy,Ethnic Studies,0
Allergy,Evolutionary Biology,0
Allergy,Food Science & Technology,0
Allergy,Forestry,0
Allergy,Gastroenterology & Hepatology,0
Allergy,General & Internal Medicine,0
Allergy,Genetics & Heredity,0
Allergy,Geochemistry & Geophysics,0
Allergy,Geography,0
Allergy,Geology,0
Allergy,Geriatrics & Gerontology,0
Allergy,Health Care Sciences & Services,0
Allergy,Hematology,0.16293763397807054
Allergy,History,0
Allergy,Imaging Science & Photographic Technology,0
Allergy,Immunology,0
Allergy,Infectious Diseases,0
Allergy,Instruments & Instrumentation,0
Allergy,Integrative & Complementary Medicine,0
Allergy,Legal Medicine,0
Allergy,Life Sciences & Biomedicine - Other Topics,0
Allergy,Linguistics,0
Allergy,Marine & Freshwater Biology,0
Allergy,Materials Science,0
Allergy,Mathematical & Computational Biology,0
Allergy,Mathematics,0
Allergy,Mechanics,0
Allergy,Medical Informatics,0
Allergy,Medical Laboratory Technology,0
Allergy,Metallurgy & Metallurgical Engineering,0
Allergy,Meteorology & Atmospheric Sciences,0
Allergy,Microbiology,0.9381895689152048
Allergy,Mineralogy,0
Allergy,Mining & Mineral Processing,0
Allergy,Music,0
Allergy,Mycology,0
Allergy,Neurosciences & Neurology,0.09811049102515929
Allergy,Nuclear Science & Technology,0
Allergy,Nursing,0
Allergy,Nutrition & Dietetics,0
Allergy,Obstetrics & Gynecology,0
Allergy,Oncology,0.051708768999501914
Allergy,Operations Research & Management Science,0
Allergy,Ophthalmology,0
Allergy,Optics,0
Allergy,Orthopedics,0
Allergy,Otorhinolaryngology,0
Allergy,Paleontology,0
Allergy,Parasitology,0
Allergy,Pathology,0
Allergy,Pediatrics,0
Allergy,Pharmacology & Pharmacy,0.07838618016696206
Allergy,Physical Geography,0
Allergy,Physics,0
Allergy,Physiology,0
Allergy,Plant Sciences,0
Allergy,Polymer Science,0
Allergy,Psychiatry,0.046726931351599776
Allergy,Psychology,0
Allergy,Public Administration,0
Allergy,"Public, Environmental & Occupational Health",0
Allergy,"Radiology, Nuclear Medicine & Medical Imaging",0
Allergy,Rehabilitation,0
Allergy,Remote Sensing,0
Allergy,Reproductive Biology,0.1543033499620919
Allergy,Research & Experimental Medicine,0.2857142857142857
Allergy,Respiratory System,0
Allergy,Rheumatology,0
Allergy,Science & Technology - Other Topics,0
Allergy,Social Issues,0
Allergy,Social Sciences - Other Topics,0
Allergy,Sociology,0
Allergy,Spectroscopy,0
Allergy,Sport Sciences,0
Allergy,Substance Abuse,0
Allergy,Surgery,0
Allergy,Telecommunications,0
Allergy,Thermodynamics,0
Allergy,Toxicology,0
Allergy,Transplantation,0.3779644730092272
Allergy,Tropical Medicine,0
Allergy,Urology & Nephrology,0
Allergy,Veterinary Sciences,0
Allergy,Virology,0
Allergy,Water Resources,0
Allergy,Zoology,0
Anatomy & Morphology,Acoustics,0.26967994498529685
Anatomy & Morphology,Agriculture,0
Anatomy & Morphology,Allergy,0
Anatomy & Morphology,Anatomy & Morphology,0
Anatomy & Morphology,Anesthesiology,0.9045340337332909
Anatomy & Morphology,Anthropology,0
Anatomy & Morphology,Archaeology,0
Anatomy & Morphology,Astronomy & Astrophysics,0
Anatomy & Morphology,Audiology & Speech-Language Pathology,0
Anatomy & Morphology,Automation & Control Systems,0
Anatomy & Morphology,Behavioral Sciences,0.4106493562928517
Anatomy & Morphology,Biochemistry & Molecular Biology,0.25156157814909363
Anatomy & Morphology,Biodiversity & Conservation,0
Anatomy & Morphology,Biomedical Social Sciences,0
Anatomy & Morphology,Biophysics,0
Anatomy & Morphology,Biotechnology & Applied Microbiology,0
Anatomy & Morphology,Business & Economics,0
Anatomy & Morphology,Cardiovascular System & Cardiology,0.43831760185175045
Anatomy & Morphology,Cell Biology,0
Anatomy & Morphology,Chemistry,0.01418190069493499
Anatomy & Morphology,Communication,0
Anatomy & Morphology,Computer Science,0.024536645240595824
Anatomy & Morphology,Construction & Building Technology,0
Anatomy & Morphology,Crystallography,0
Anatomy & Morphology,Demography,0
Anatomy & Morphology,"Dentistry, Oral Surgery & Medicine",0.30151134457776363
Anatomy & Morphology,Dermatology,0.25087260300212727
Anatomy & Morphology,Developmental Biology,0
Anatomy & Morphology,Education & Educational Research,0
Anatomy & Morphology,Electrochemistry,0
Anatomy & Morphology,Endocrinology & Metabolism,0.29012942659282975
Anatomy & Morphology,Energy & Fuels,0
Anatomy & Morphology,Engineering,0.050783671611902566
Anatomy & Morphology,Entomology,0
Anatomy & Morphology,Environmental Sciences & Ecology,0
Anatomy & Morphology,Ethnic Studies,0
Anatomy & Morphology,Evolutionary Biology,0
Anatomy & Morphology,Food Science & Technology,0
Anatomy & Morphology,Forestry,0
Anatomy & Morphology,Gastroenterology & Hepatology,0
Anatomy & Morphology,General & Internal Medicine,0.17407765595569785
Anatomy & Morphology,Genetics & Heredity,0
Anatomy & Morphology,Geochemistry & Geophysics,0
Anatomy & Morphology,Geography,0
Anatomy & Morphology,Geology,0
Anatomy & Morphology,Geriatrics & Gerontology,0.6396021490668312
Anatomy & Morphology,Health Care Sciences & Services,0
Anatomy & Morphology,Hematology,0.04912754510304755
Anatomy & Morphology,History,0
Anatomy & Morphology,Imaging Science & Photographic Technology,0.12309149097933275
Anatomy & Morphology,Immunology,0.10467947366982797
Anatomy & Morphology,Infectious Diseases,0
Anatomy & Morphology,Instruments & Instrumentation,0
Anatomy & Morphology,Integrative & Complementary Medicine,0
Anatomy & Morphology,Legal Medicine,0
Anatomy & Morphology,Life Sciences & Biomedicine - Other Topics,0.10497277621629561
Anatomy & Morphology,Linguistics,0.11487593716012255
Anatomy & Morphology,Marine & Freshwater Biology,0
Anatomy & Morphology,Materials Science,0
Anatomy & Morphology,Mathematical & Computational Biology,0
Anatomy & Morphology,Mathematics,0
Anatomy & Morphology,Mechanics,0
Anatomy & Morphology,Medical Informatics,0
Anatomy & Morphology,Medical Laboratory Technology,0
Anatomy & Morphology,Metallurgy & Metallurgical Engineering,0
Anatomy & Morphology,Meteorology & Atmospheric Sciences,0
Anatomy & Morphology,Microbiology,0
Anatomy & Morphology,Mineralogy,0
Anatomy & Morphology,Mining & Mineral Processing,0
Anatomy & Morphology,Music,0
Anatomy & Morphology,Mycology,0
Anatomy & Morphology,Neurosciences & Neurology,0.09860475355393462
Anatomy & Morphology,Nuclear Science & Technology,0.1165928074658178
Anatomy & Morphology,Nursing,0
Anatomy & Morphology,Nutrition & Dietetics,0.09588041581508897
Anatomy & Morphology,Obstetrics & Gynecology,0
Anatomy & Morphology,Oncology,0.07795390233750402
Anatomy & Morphology,Operations Research & Management Science,0
Anatomy & Morphology,Ophthalmology,0.9045340337332909
Anatomy & Morphology,Optics,0
Anatomy & Morphology,Orthopedics,0.21661214442955296
Anatomy & Morphology,Otorhinolaryngology,0
Anatomy & Morphology,Paleontology,0
